status,brand,name,link,price,80PLUS,form factor,depth,modular,EPS8pin,OEM,platform,pcb,primary topology,primary cap(s) brand,secondary side topology,secondary electrolytic caps brand,secondary solid caps brand,modular board caps,fan,fanless mode,note,review/image_1,review/image_2,review/image_3,review/image_4
,ADATA,XPG CORE REACTOR COREREACTOR650G-BKCJP,https://kakaku.com/item/K0001318575/,"¥10,600",Gold,ATX,140,full,x2,CWT,,,,,,,,,,,,,,,
,ADATA,XPG CORE REACTOR COREREACTOR750G-BKCJP,https://kakaku.com/item/K0001318576/,"¥14,309",Gold,ATX,140,full,x2,CWT,,,,,,,,,,,,,,,
,ADATA,XPG CORE REACTOR COREREACTOR850G-BKCJP,https://kakaku.com/item/K0001318577/,"¥14,636",Gold,ATX,140,full,x2,CWT,,,,,,,,,,,,,,,
,ADATA,XPG PYLON 450W,https://kakaku.com/item/K0001383670/,"¥5,480",Bronze,ATX,140,fixed,x1,CWT,,,,,,,,,,,,,,,
,ADATA,XPG PYLON 550W,https://kakaku.com/item/K0001383671/,"¥5,750",Bronze,ATX,140,fixed,x1,CWT,,,,,,,,,,,,,,,
,ADATA,XPG PYLON 650W,https://kakaku.com/item/K0001383672/,"¥6,340",Bronze,ATX,140,fixed,x1,CWT,,,,,,,,,,,,,,,
,ADATA,XPG PYLON 750W,https://kakaku.com/item/K0001383673/,"¥7,010",Bronze,ATX,140,fixed,x1,CWT,,,,,,,,,,,,,,,
discontinued,Andyson,PROMINER GM1200,https://kakaku.com/item/K0001022613/,"¥4,980",Not Certified,ATX,230,fixed,x2,Andyson,unknown,single sided,double forward,Teapo 85c,unknown,JunFu 105c,unknown,n/a,POWERYEAR PY-8025H12B*2,n/a,-,https://review.kakaku.com/review/K0001022613/ReviewCD=1211385/,-,-,-
,ANTEC,NeoECO Classic NE550C,https://kakaku.com/item/K0000710141/,"¥5,026",Bronze,ATX,140,fixed,x1,Andyson,(Rosewill Glacier),single sided,double forward,Hitachi 105c,Passive Rectification + Group Regulation,chemi-con/nichicon 105c,n/a,n/a,Globe Fan B1202512L,n/a,前期品はCWT GPK,https://quasarzone.co.kr/bbs/board.php?bo_table=qc_user&wr_id=11417,https://www.f14lab.com/2020/04/review-antec-neo-eco-c-550w-v2.html,-,-
,ANTEC,NeoECO Classic NE650C,https://kakaku.com/item/K0000710142/,"¥5,782",Bronze,ATX,140,fixed,x1,Andyson,(Rosewill Glacier),single sided,double forward,nichicon 105c,Passive Rectification + Group Regulation,chemi-con/nichicon 105c,n/a,n/a,Globe Fan B1202512L,n/a,前期品はCWT GPK,http://blog.daum.net/_blog/BlogTypeView.do?blogid=0E8nf&articleno=11733231&categoryId=696340&regdt=20170930192544,http://supermodel.blog.jp/archives/68662778.html,https://post.naver.com/viewer/postView.nhn?volumeNo=20204143&memberNo=25001598,-
,ANTEC,NeoECO Gold NE550G,https://kakaku.com/item/K0001019732/,"¥8,078",Gold,ATX,140,semi,x1,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,chemi-con,FPCAP/Enesol,HongHua HA1225H12S-Z,n/a,-,https://www.coolaler.com/threads/antec-neoeco-gold-550w.348327/,-,-,-
,ANTEC,NeoECO Gold NE650G,https://kakaku.com/item/K0001019733/,"¥8,924",Gold,ATX,140,semi,x1,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,chemi-con,FPCAP/Enesol,HongHua HA1225H12S-Z,n/a,-,https://www.xfastest.com/forum.php?mod=viewthread&tid=203752&cp=4,https://twitter.com/Yacamochi_db/status/1220946935713914880,-,-
,ANTEC,NeoECO Gold NE750G,https://kakaku.com/item/K0001019734/,"¥9,939",Gold,ATX,140,semi,x2,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,chemi-con,FPCAP/Enesol,HongHua HA1225H12S-Z,n/a,-,https://wolflsi.pixnet.net/blog/post/66209493-antec-neoeco-gold%E7%B3%BB%E5%88%97750w%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8%E7%B0%A1%E4%BB%8B%E5%8F%8A%E6%B8%AC%E8%A9%A6,https://twitter.com/Yacamochi_db/status/1220947061572374530,-,-
