|※|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
||ADATA|[[XPG CORE REACTOR COREREACTOR650G-BKCJP:https://kakaku.com/item/K0001318575/]]|Gold|ATX|140|full|x2|CWT|CWT CSE|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ADATA|[[XPG CORE REACTOR COREREACTOR750G-BKCJP:https://kakaku.com/item/K0001318576/]]|Gold|ATX|140|full|x2|CWT|CWT CSE|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:https://www.tomshardware.com/reviews/xpg-core-reactor-750w-power-supply-review]]|[[link:]]|[[link:]]|[[link:]]|
||ADATA|[[XPG CORE REACTOR COREREACTOR850G-BKCJP:https://kakaku.com/item/K0001318577/]]|Gold|ATX|140|full|x2|CWT|CWT CSE|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ADATA|[[XPG PYLON 450W:https://kakaku.com/item/K0001383670/]]|Bronze|ATX|140|fixed|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ||ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|||||||[[link:https://webapi3.adata.com/storage/ProductGallery/productGallery233.png]]|[[link:]]|[[link:]]|[[link:]]|
||ADATA|[[XPG PYLON 550W:https://kakaku.com/item/K0001383671/]]|Bronze|ATX|140|fixed|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ||ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|||||||[[link:https://webapi3.adata.com/storage/ProductGallery/productGallery233.png]]|[[link:]]|[[link:]]|[[link:]]|
||ADATA|[[XPG PYLON 650W:https://kakaku.com/item/K0001383672/]]|Bronze|ATX|140|fixed|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|chemi-con 105c 2000h(KMW)|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|||||||[[link:https://www.tomshardware.com/reviews/xpg-pylon-650w-power-supply-review]]|[[link:https://webapi3.adata.com/storage/ProductGallery/productGallery233.png]]|[[link:]]|[[link:]]|
||ADATA|[[XPG PYLON 750W:https://kakaku.com/item/K0001383673/]]|Bronze|ATX|140|fixed|x1|CWT|CWT CSB-A|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|chemi-con 105c 2000h(KMW)|準同期整流 + DC/DC|||||||[[link:https://www.techpowerup.com/review/adata-xpg-pylon-750-w/3.html]]|[[link:https://webapi3.adata.com/storage/ProductGallery/productGallery233.png]]|[[link:https://ascii.jp/elem/000/004/073/4073077/]]|[[link:]]|
|終売|Andyson|[[PROMINER GM1200:https://kakaku.com/item/K0001022613/]]|未取得|ATX|230|fixed|x2|Andyson|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|不明|&#x4a;unFu 105c|不明|n/a|POWERYEAR PY-8025H12B*2|n/a|-|[[link:https://review.kakaku.com/review/K0001022613/ReviewCD=1211385/]]||||
||ANTEC|[[NeoECO Classic NE550C:https://kakaku.com/item/K0000710141/]]|Bronze|ATX|140|fixed|x1|Andyson|(Rosewill Glacier)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Hitachi 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|chemi-con / nichicon 105c|n/a|n/a|Globe Fan B1202512L|n/a|前期品はCWT GPK|[[link:https://quasarzone.co.kr/bbs/board.php?bo_table=qc_user&wr_id=11417]]|[[link:https://www.f14lab.com/2020/04/review-antec-neo-eco-c-550w-v2.html]]|||
||ANTEC|[[NeoECO Classic NE650C:https://kakaku.com/item/K0000710142/]]|Bronze|ATX|140|fixed|x1|Andyson|(Rosewill Glacier)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|nichicon 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|chemi-con / nichicon 105c|n/a|n/a|Globe Fan B1202512L|n/a|前期品はCWT GPK|[[link:http://blog.daum.net/_blog/BlogTypeView.do?blogid=0E8nf&articleno=11733231&categoryId=696340&regdt=20170930192544]]|[[link:http://supermodel.blog.jp/archives/68662778.html]]|[[link:https://post.naver.com/viewer/postView.nhn?volumeNo=20204143&memberNo=25001598]]||
