brand,name,link,price,80PLUS,form factor,depth,modular,EPS8pin,OEM,platform,pcb,primary topology,primary cap(s) brand,secondary side topology,secondary electrolytic caps brand,secondary solid caps brand,modular board caps,fan,fanless mode,note,review/image_1,review/image_2,review/image_3,review/image_4
Andyson,PROMINER GM1200,https://kakaku.com/item/K0001022613/,"¥4,980",Not Certified,ATX,230,fixed,x2,Andyson,unknown,single sided,double forward,Teapo 85c,unknown,JunFu 105c,unknown,n/a,POWERYEAR PY-8025H12B*2,n/a,-,https://review.kakaku.com/review/K0001022613/ReviewCD=1211385/,-,-,-
ANTEC,NeoECO Classic NE550C,https://kakaku.com/item/K0000710141/,"¥5,026",Bronze,ATX,140,fixed,x1,Andyson,(Rosewill Glacier),single sided,double forward,Hitachi 105c,Passive Rectification + Group Regulation,chemi-con/nichicon 105c,n/a,n/a,Globe Fan B1202512L,n/a,前期品はCWT GPK,https://quasarzone.co.kr/bbs/board.php?bo_table=qc_user&wr_id=11417,-,-,-
ANTEC,NeoECO Classic NE650C,https://kakaku.com/item/K0000710142/,"¥5,782",Bronze,ATX,140,fixed,x1,Andyson,(Rosewill Glacier),single sided,double forward,nichicon 105c,Passive Rectification + Group Regulation,chemi-con/nichicon 105c,n/a,n/a,Globe Fan B1202512L,n/a,前期品はCWT GPK,http://blog.daum.net/_blog/BlogTypeView.do?blogid=0E8nf&articleno=11733231&categoryId=696340&regdt=20170930192544,http://supermodel.blog.jp/archives/68662778.html,https://post.naver.com/viewer/postView.nhn?volumeNo=20204143&memberNo=25001598,-
ANTEC,NeoECO Gold NE550G,https://kakaku.com/item/K0001019732/,"¥8,078",Gold,ATX,140,semi,x1,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,chemi-con,FPCAP/Enesol,HongHua HA1225H12S-Z,n/a,-,https://www.coolaler.com/threads/antec-neoeco-gold-550w.348327/,-,-,-
ANTEC,NeoECO Gold NE650G,https://kakaku.com/item/K0001019733/,"¥8,924",Gold,ATX,140,semi,x1,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,chemi-con,FPCAP/Enesol,HongHua HA1225H12S-Z,n/a,-,https://www.xfastest.com/forum.php?mod=viewthread&tid=203752&cp=4,-,-,-
ANTEC,NeoECO Gold NE750G,https://kakaku.com/item/K0001019734/,"¥9,939",Gold,ATX,140,semi,x2,Seasonic,Seasonic Focus Gold,double sided,full-bridge LLC,japanese 105c,Synchronous Rectification + DC/DC,chemi-con 105c,chemi-con,FPCAP/Enesol,HongHua HA1225H12S-Z,n/a,-,https://wolflsi.pixnet.net/blog/post/66209493-antec-neoeco-gold%E7%B3%BB%E5%88%97750w%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8%E7%B0%A1%E4%BB%8B%E5%8F%8A%E6%B8%AC%E8%A9%A6,-,-,-
ANTEC,VP550 Plus JP,https://kakaku.com/item/K0001110032/,"¥4,880",Standard,ATX,140,fixed,x1,Andyson,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,POWERYEAR?,n/a,-,-,-,-,-
Apexgaming,AG-650M,https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-650m-650w80-gold-fully-modular-power-supply-1,-,Gold,ATX,160,full,x1,Solytech,unknown,double sided,half-bridge LLC,rubycon 105c,Synchronous Rectification + DC/DC,Su'scon/Elite 105c,Beryl,Su'scon Electrolytic 105c,AMBEYOND AV-F14025LS,n/a,国内品は2次側TEAPO/Eliteに変更?,https://www.nikktech.com/main/articles/pc-hardware/power-supplies/9788-apexgaming-ag-650m-650w-power-supply-unit-review?start=4,https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=249980,https://www.overclockzone.com/ApexgamingAG-650M,-
Apexgaming,AG-750M,https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-750m-750w-80-gold-fully-modular-power-supply,-,Gold,ATX,160,full,x1,Solytech,unknown,double sided,half-bridge LLC,rubycon 105c,Synchronous Rectification + DC/DC,TEAPO/Elite or Su'scon 105c,Beryl,TEAPO or Su'scon Electrolytic 105c,AMBEYOND AV-F14025MB,n/a,国内品は2次側TEAPO/Eliteに変更?,https://www.%65xpreview.com/68641.html,http://www.gdm.or.jp/review/2019/0912/319342/3,http://www.%65lecfans.com/d/922339.html,-
Apexgaming,AG-850M,https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-850m-850w-80-gold-fully-modular-power-supply,-,Gold,ATX,160,full,x2,Solytech,unknown,double sided,half-bridge LLC,rubycon 105c,Synchronous Rectification + DC/DC,Su'scon/Elite 105c,Beryl,Su'scon Electrolytic 105c,AMBEYOND AV-F14025HS,n/a,国内品は2次側TEAPO/Eliteに変更?,https://www.techpowerup.com/review/apexgaming-ag-850m/4.html,https://underdesktop.com/review-apex-gaming-ag-850m-80-plus-gold-tsunami/,-,-
