|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|Andyson|[[PROMINER GM1200:https://kakaku.com/item/K0001022613/]]|未取得|ATX|230|fixed|x2|Andyson|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|不明|JunFu 105c|不明|n/a|POWERYEAR PY-8025H12B*2|n/a|-|[[link:https://review.kakaku.com/review/K0001022613/ReviewCD=1211385/]]||||
|ANTEC|[[NeoECO Classic NE550C:https://kakaku.com/item/K0000710141/]]|Bronze|ATX|140|fixed|x1|Andyson|(Rosewill Glacier)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Hitachi 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|chemi-con / nichicon 105c|n/a|n/a|Globe Fan B1202512L|n/a|前期品はCWT GPK|[[link:https://quasarzone.co.kr/bbs/board.php?bo_table=qc_user&wr_id=11417]]||||
|ANTEC|[[NeoECO Classic NE650C:https://kakaku.com/item/K0000710142/]]|Bronze|ATX|140|fixed|x1|Andyson|(Rosewill Glacier)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|nichicon 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|chemi-con / nichicon 105c|n/a|n/a|Globe Fan B1202512L|n/a|前期品はCWT GPK|[[link:http://blog.daum.net/_blog/BlogTypeView.do?blogid=0E8nf&articleno=11733231&categoryId=696340&regdt=20170930192544]]|[[link:http://supermodel.blog.jp/archives/68662778.html]]|[[link:https://post.naver.com/viewer/postView.nhn?volumeNo=20204143&memberNo=25001598]]||
|ANTEC|[[NeoECO Gold NE550G:https://kakaku.com/item/K0001019732/]]|Gold|ATX|140|semi|x1|Seasonic|Seasonic Focus Gold|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|chemi-con 105c|chemi-con|FPCAP / Enesol|HongHua HA1225H12S-Z|n/a|-|[[link:https://www.coolaler.com/threads/antec-neoeco-gold-550w.348327/]]||||
|ANTEC|[[NeoECO Gold NE650G:https://kakaku.com/item/K0001019733/]]|Gold|ATX|140|semi|x1|Seasonic|Seasonic Focus Gold|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|chemi-con 105c|chemi-con|FPCAP / Enesol|HongHua HA1225H12S-Z|n/a|-|[[link:https://www.xfastest.com/forum.php?mod=viewthread&tid=203752&cp=4]]||||
|ANTEC|[[NeoECO Gold NE750G:https://kakaku.com/item/K0001019734/]]|Gold|ATX|140|semi|x2|Seasonic|Seasonic Focus Gold|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|chemi-con 105c|chemi-con|FPCAP / Enesol|HongHua HA1225H12S-Z|n/a|-|[[link:https://wolflsi.pixnet.net/blog/post/66209493-antec-neoeco-gold%E7%B3%BB%E5%88%97750w%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8%E7%B0%A1%E4%BB%8B%E5%8F%8A%E6%B8%AC%E8%A9%A6]]||||
|ANTEC|[[VP550 Plus JP:https://kakaku.com/item/K0001110032/]]|Standard|ATX|140|fixed|x1|Andyson|不明|不明|不明|不明|不明|n/a|n/a|n/a|POWERYEAR?|n/a|-|||||
|Apexgaming|[[AG-650M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-650m-650w80-gold-fully-modular-power-supply-1]]|Gold|ATX|160|full|x1|Solytech|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|rubycon 105c|同期整流 + DC/DC|Su'scon / Elite 105c|Beryl|Su'scon Electrolytic 105c|AMBEYOND AV-F14025LS|n/a|国内品は2次側TEAPO/Eliteに変更?|[[link:https://www.nikktech.com/main/articles/pc-hardware/power-supplies/9788-apexgaming-ag-650m-650w-power-supply-unit-review?start=4]]|[[link:https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=249980]]|[[link:https://www.overclockzone.com/ApexgamingAG-650M]]||
|Apexgaming|[[AG-750M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-750m-750w-80-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x1|Solytech|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|rubycon 105c|同期整流 + DC/DC|TEAPO / Elite or Su'scon 105c|Beryl|TEAPO or Su'scon Electrolytic 105c|AMBEYOND AV-F14025MB|n/a|国内品は2次側TEAPO/Eliteに変更?|[[link:https://www.%65xpreview.com/68641.html]]|[[link:http://www.gdm.or.jp/review/2019/0912/319342/3]]|[[link:http://www.%65lecfans.com/d/922339.html]]||
|Apexgaming|[[AG-850M:https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-850m-850w-80-gold-fully-modular-power-supply]]|Gold|ATX|160|full|x2|Solytech|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|rubycon 105c|同期整流 + DC/DC|Su'scon / Elite 105c|Beryl|Su'scon Electrolytic 105c|AMBEYOND AV-F14025HS|n/a|国内品は2次側TEAPO/Eliteに変更?|[[link:https://www.techpowerup.com/review/apexgaming-ag-850m/4.html]]|[[link:https://underdesktop.com/review-apex-gaming-ag-850m-80-plus-gold-tsunami/]]|||
